PHONE_NUMBER,ACTIVATION_DATE,DEACTIVATION_DATE
8,1996-03-28,1996-04-22
2,1997-11-08,1997-11-30
6,1995-06-11,1995-07-09
8,1998-11-11,1998-12-09
10,1998-09-21,1998-09-25
7,1998-03-19,1998-03-31
2,2000-03-14,2000-04-02
9,1996-07-20,1996-08-01
4,1996-10-16,1996-11-09
7,1999-06-24,1999-07-19
5,1996-06-29,1996-07-04
5,1997-02-16,1997-03-05
7,1997-04-30,1997-05-06
10,1998-10-19,1998-11-11
5,1996-05-24,1996-06-04
7,1998-09-17,1998-09-20
1,1996-10-08,1996-10-20
3,1996-10-22,1996-10-26
5,1997-03-05,1997-03-15
7,1997-12-18,1998-01-09
3,1996-09-20,1996-09-30
7,1999-09-11,1999-09-23
8,1998-05-09,1998-05-10
5,1995-08-11,1995-08-21
8,1997-09-16,1997-10-16
4,1996-01-19,1996-02-08
1,1999-07-12,1999-08-07
6,1997-08-31,1997-09-17
6,1997-01-29,1997-02-09
6,1999-03-14,1999-04-07
3,1996-04-06,1996-04-11
1,1999-09-13,1999-09-14
5,1998-07-11,1998-07-23
9,1997-06-16,1997-07-03
3,1997-05-18,1997-06-01
3,1999-10-17,1999-10-26
1,1998-10-17,1998-11-06
2,1996-05-21,1996-06-14
7,1998-07-14,1998-08-12
3,1996-10-26,1996-11-22
10,1998-02-18,1998-02-24
6,1996-09-30,1996-10-30
4,1997-07-24,1997-08-20
10,1999-09-29,1999-10-09
4,1996-11-09,1996-12-08
8,1996-02-12,1996-02-27
9,1998-09-26,1998-10-13
5,1997-05-07,1997-05-11
7,1997-05-18,1997-06-03
4,1998-06-23,1998-07-06
2,2000-02-29,2000-03-14
1,1999-06-19,1999-07-03
10,1997-05-12,1997-05-31
2,1997-04-28,1997-05-20
7,1996-10-07,1996-10-25
1,1997-11-10,1997-12-10
10,1996-08-29,1996-09-08
9,1996-09-24,1996-10-24
8,1996-11-06,1996-11-19
4,1996-03-02,1996-04-01
8,1996-03-09,1996-03-28
10,1997-03-24,1997-03-26
8,1998-10-30,1998-11-11
3,1999-01-26,1999-01-29
9,1997-12-13,1997-12-20
10,2000-06-15,2017-12-28
8,1997-01-13,1997-01-14
3,1999-08-10,1999-08-29
5,1997-01-13,1997-01-15
7,1999-05-01,1999-05-29
10,1996-07-27,1996-07-29
10,1998-02-24,1998-03-26
1,1996-09-17,1996-10-08
6,1995-10-05,1995-10-08
4,1997-09-30,1997-10-28
10,1998-10-01,1998-10-19
9,1999-08-16,1999-09-10
2,1999-02-15,1999-03-13
6,1996-04-20,1996-05-10
6,1996-11-24,1996-12-18
7,2000-02-29,2000-03-29
9,1997-04-29,1997-05-08
5,1996-06-04,1996-06-29
1,1995-12-10,1996-01-01
9,1999-07-06,1999-07-27
8,1998-02-21,1998-03-23
2,1997-02-26,1997-03-06
1,1999-08-07,1999-08-18
6,1995-09-09,1995-09-24
7,2000-08-10,2000-08-27
3,1999-05-29,1999-06-27
6,1995-08-03,1995-08-31
4,1998-05-31,1998-06-23
4,1997-12-07,1997-12-12
10,2000-02-19,2000-02-29
1,2000-04-14,2000-05-05
7,1998-09-20,1998-09-23
9,1999-06-12,1999-07-06
3,1997-07-05,1997-07-11
5,1997-03-15,1997-04-10
7,2000-05-26,2000-06-23
2,1996-05-19,1996-05-21
7,1998-09-23,1998-10-22
1,1999-07-03,1999-07-12
10,1998-08-20,1998-08-28
2,1999-01-15,1999-01-27
2,2000-05-01,2000-05-31
7,1997-05-06,1997-05-18
6,1999-01-22,1999-02-16
7,1999-08-11,1999-08-16
1,1998-09-20,1998-10-17
9,1995-10-03,1995-10-13
7,2000-07-15,2000-08-10
3,1998-11-28,1998-11-30
5,1996-07-14,1996-07-25
7,1997-12-05,1997-12-08
4,2000-05-02,2000-05-28
7,1997-07-01,1997-07-25
5,1997-08-11,1997-08-30
10,1997-12-28,1998-01-11
10,1996-08-23,1996-08-29
4,1998-10-17,1998-10-27
4,1997-01-11,1997-01-26
3,1999-08-29,1999-09-28
